ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2026,8,18,1409,56.28,137.16,2.75,0,1,1,1.41,0,1
2,2026,8,18,1409,56.1,135.4,2.76,0,1,1,2.09,0,2
3,2026,8,18,1409,56.1,135.42,2.76,0,1,3,2.09,0,2
4,2026,8,18,1409,55.38,114.62,2.82,0,1,3,2.97,0,5
5,2026,8,18,1409,55.38,114.64,2.82,0,1,3,2.97,0,5
6,2026,8,18,1409,54.62,160.3,2.87,0,2,3,5.78,0,8
7,2026,8,18,1409,54.62,160.32,2.87,0,2,3,5.78,0,8
8,2026,8,18,1409,54.6,160.3,2.87,0,2,3,5.78,0,8
9,2026,8,18,1409,53.18,102.62,2.97,0,1,1,5.5,0,9
10,2026,8,18,1409,53.18,102.64,2.97,0,1,3,5.5,0,9
11,2026,8,18,1409,51.5,128.22,3.09,0,2,3,3.14,0,11
12,2026,8,18,1409,51.5,128.24,3.09,0,2,3,3.14,0,11
13,2026,8,18,1409,51.48,128.24,3.09,0,2,3,3.14,0,11
14,2026,8,18,1409,50.82,119.48,3.13,0,1,3,4.14,0,17
15,2026,8,18,1409,50.82,119.5,3.13,0,1,3,4.14,0,17
16,2026,8,18,1409,50.8,119.48,3.13,0,1,3,4.14,0,17
17,2026,8,18,1409,50.8,119.5,3.13,0,1,3,4.14,0,17
18,2026,8,18,1409,50.06,109.6,3.18,0,1,3,7.56,0,18
19,2026,8,18,1409,49.24,114.88,3.24,0,2,3,2.37,0,22
20,2026,8,18,1409,49.24,114.9,3.24,0,2,3,2.37,0,22
21,2026,8,18,1409,49.22,114.9,3.24,0,2,3,2.37,0,22
22,2026,8,18,1409,49.22,114.92,3.24,0,2,3,2.37,0,22
23,2026,8,18,1409,48.9,114.9,3.26,0,1,3,4.34,0,24
24,2026,8,18,1409,48.9,114.92,3.26,0,1,3,4.34,0,24
25,2026,8,18,1409,48.88,115.02,3.26,0,2,1,3.59,0,25
26,2026,8,18,1409,48.86,115.04,3.26,0,1,1,5.02,0,26
27,2026,8,18,1409,48.78,115.54,3.27,0,2,1,3.22,0,29
28,2026,8,18,1409,48.78,115.56,3.27,0,2,3,3.22,0,29
29,2026,8,18,1409,48.76,115.56,3.27,0,2,1,3.22,0,29
30,2026,8,18,1409,48.5,137.36,3.28,0,1,3,7.13,0,30
31,2026,8,18,1409,45.08,133.88,3.5,0,1,3,5.83,0,31
32,2026,8,18,1409,44.6,142.3,3.53,0,2,3,2.03,0,32
33,2026,8,18,1409,44.56,131.28,3.53,0,2,1,2.77,0,33
34,2026,8,18,1409,44.56,131.3,3.53,0,2,3,2.77,0,33
35,2026,8,18,1409,44.52,142.4,3.53,0,2,3,3.76,0,35
36,2026,8,18,1409,44.5,142.4,3.54,0,2,3,3.76,0,35
37,2026,8,18,1409,43.66,125.34,3.59,0,1,1,4.79,0,38
38,2026,8,18,1409,43.64,125.34,3.59,0,1,1,5.84,0,38
